Ziehungstag;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Stern1;Stern2;Rang;Zahlen;Sterne;Europa;Österreich;Quoten;
Fr. 24.03.2023;5;12;25;36;46;6;10;1;5;2;           1;           0;  66.287.741,00;
;;;;;;;;2;5;1;           6;           1;     126.453,80;
;;;;;;;;3;5;0;           7;           0;      25.332,20;
;;;;;;;;4;4;2;          34;           0;       1.624,40;
;;;;;;;;5;4;1;         864;          31;         117,70;
;;;;;;;;6;3;2;       1.710;          72;          62,80;
;;;;;;;;7;4;0;       1.896;          85;          39,80;
;;;;;;;;8;2;2;      24.195;       1.120;          15,60;
;;;;;;;;9;3;1;      34.942;       1.398;          12,00;
;;;;;;;;10;3;0;      85.287;       3.555;           9,20;
;;;;;;;;11;1;2;     125.436;       5.699;           7,50;
;;;;;;;;12;2;1;     506.644;      21.577;           5,90;
;;;;;;;;13;2;0;   1.225.880;      50.693;           3,90;
Di. 28.03.2023;16;21;34;36;44;9;10;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           1;           0;     482.807,50;
;;;;;;;;3;5;0;           4;           0;      28.210,00;
;;;;;;;;4;4;2;          19;           0;       1.849,80;
;;;;;;;;5;4;1;         473;          26;         136,80;
;;;;;;;;6;3;2;         779;          43;          87,80;
;;;;;;;;7;4;0;       1.050;          46;          45,80;
;;;;;;;;8;2;2;      11.497;         620;          20,90;
;;;;;;;;9;3;1;      20.191;         902;          13,20;
;;;;;;;;10;3;0;      47.747;       2.187;          10,40;
;;;;;;;;11;1;2;      63.320;       3.354;           9,50;
;;;;;;;;12;2;1;     304.758;      14.655;           6,20;
;;;;;;;;13;2;0;     713.672;      34.006;           4,30;
Fr. 31.03.2023;16;18;28;34;47;5;10;1;5;2;JP;JP;  30.291.562,30;
;;;;;;;;2;5;1;           2;           0;     346.909,70;
;;;;;;;;3;5;0;           3;           1;      54.052,30;
;;;;;;;;4;4;2;          27;           1;       1.870,60;
;;;;;;;;5;4;1;         676;          27;         137,60;
;;;;;;;;6;3;2;       1.514;          69;          64,90;
;;;;;;;;7;4;0;       1.501;          73;          46,00;
;;;;;;;;8;2;2;      22.272;       1.070;          15,50;
;;;;;;;;9;3;1;      31.227;       1.350;          12,30;
;;;;;;;;10;3;0;      70.706;       3.016;          10,10;
;;;;;;;;11;1;2;     119.432;       5.317;           7,20;
;;;;;;;;12;2;1;     463.717;      19.261;           5,90;
;;;;;;;;13;2;0;   1.058.817;      44.852;           4,10;
Di. 04.04.2023;10;16;31;33;50;3;8;1;5;2;JP;JP;  40.419.100,60;
;;;;;;;;2;5;1;           2;           0;     264.328,70;
;;;;;;;;3;5;0;           5;           0;      24.711,10;
;;;;;;;;4;4;2;          16;           1;       2.405,20;
;;;;;;;;5;4;1;         475;          27;         149,20;
;;;;;;;;6;3;2;       1.348;          49;          55,50;
;;;;;;;;7;4;0;       1.112;          60;          47,30;
;;;;;;;;8;2;2;      22.024;       1.043;          11,90;
;;;;;;;;9;3;1;      24.416;       1.278;          12,00;
;;;;;;;;10;3;0;      51.848;       2.896;          10,50;
;;;;;;;;11;1;2;     123.299;       5.655;           5,30;
;;;;;;;;12;2;1;     374.844;      18.768;           5,50;
;;;;;;;;13;2;0;     785.097;      40.860;           4,20;
Fr. 07.04.2023;5;26;28;36;46;6;12;1;5;2;JP;JP;  53.926.195,90;
;;;;;;;;2;5;1;           2;           0;     352.535,10;
;;;;;;;;3;5;0;           6;           0;      27.464,40;
;;;;;;;;4;4;2;          33;           2;       1.555,30;
;;;;;;;;5;4;1;         664;          31;         142,30;
;;;;;;;;6;3;2;       1.641;          73;          60,90;
;;;;;;;;7;4;0;       1.594;          66;          44,00;
;;;;;;;;8;2;2;      19.377;       1.043;          18,10;
;;;;;;;;9;3;1;      30.798;       1.514;          12,70;
;;;;;;;;10;3;0;      71.565;       3.317;          10,10;
;;;;;;;;11;1;2;     105.720;       5.496;           8,30;
;;;;;;;;12;2;1;     429.199;      21.588;           6,40;
;;;;;;;;13;2;0;   1.083.158;      51.404;           4,10;
Di. 11.04.2023;10;14;16;19;29;2;10;1;5;2;JP;JP;  64.268.423,90;
;;;;;;;;2;5;1;           2;           0;     269.932,10;
;;;;;;;;3;5;0;          10;           1;      12.617,50;
;;;;;;;;4;4;2;          33;           3;       1.190,90;
;;;;;;;;5;4;1;         790;          41;          91,60;
;;;;;;;;6;3;2;       1.498;          71;          51,00;
;;;;;;;;7;4;0;       1.874;          69;          28,60;
;;;;;;;;8;2;2;      19.088;         889;          14,00;
;;;;;;;;9;3;1;      31.615;       1.343;           9,40;
;;;;;;;;10;3;0;      74.016;       3.092;           7,50;
;;;;;;;;11;1;2;      94.853;       4.697;           7,10;
;;;;;;;;12;2;1;     409.669;      19.430;           5,20;
;;;;;;;;13;2;0;     975.578;      44.147;           3,50;
Fr. 14.04.2023;4;11;37;44;49;6;7;1;5;2;JP;JP;  76.614.029,50;
;;;;;;;;2;5;1;           2;           0;     383.595,60;
;;;;;;;;3;5;0;           7;           1;      25.615,00;
;;;;;;;;4;4;2;          30;           1;       1.861,60;
;;;;;;;;5;4;1;         867;          41;         118,60;
;;;;;;;;6;3;2;       1.645;          74;          66,10;
;;;;;;;;7;4;0;       1.677;          76;          45,50;
;;;;;;;;8;2;2;      25.265;       1.087;          15,10;
;;;;;;;;9;3;1;      37.902;       1.602;          11,20;
;;;;;;;;10;3;0;      77.447;       3.768;          10,20;
;;;;;;;;11;1;2;     141.622;       5.765;           6,70;
;;;;;;;;12;2;1;     560.348;      23.728;           5,40;
;;;;;;;;13;2;0;   1.123.822;      52.189;           4,30;
Di. 18.04.2023;17;21;23;35;37;10;11;1;5;2;JP;JP;  86.295.887,20;
;;;;;;;;2;5;1;           4;           1;     150.414,50;
;;;;;;;;3;5;0;           6;           0;      23.436,20;
