;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
;;gezogen;14;41;24;44;8;18;ZZ;43;4er;4.580;à;47,30;3er + ZZ;5.661;à;18,50;3er;77.063;à;5,00;ZZ;249.036;à;1,10;;;;;;
Mi;23.04.;aufsteigend;3;5;10;13;19;39;ZZ;33;6er;1;à;1.693.154,30;5er + ZZ;5;à;22.475,40;5er;159;à;771,00;4er + ZZ;375;à;114,40;;;;;;
;;gezogen;3;10;5;13;19;39;ZZ;33;4er;6.651;à;30,40;3er + ZZ;8.102;à;12,10;3er;96.977;à;3,70;ZZ;226.607;à;1,10;;;;;;
So;27.04.;aufsteigend;7;13;21;26;37;45;ZZ;33;6er;JP; ;821.959,70;5er + ZZ;6;à;18.836,50;5er;137;à;899,90;4er + ZZ;391;à;110,30;;;;;;
;;gezogen;21;37;13;45;7;26;ZZ;33;4er;5.252;à;38,70;3er + ZZ;7.809;à;12,60;3er;81.070;à;4,40;ZZ;232.606;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
Mi;30.04.;aufsteigend;4;7;12;29;32;37;ZZ;33;6er;2JP;;1.843.291,30;5er + ZZ;5;à;28.086,60;5er;120;à;1.276,60;4er + ZZ;283;à;189,40;;;;;;
;;gezogen;7;37;29;4;32;12;ZZ;33;4er;5.913;à;42,70;3er + ZZ;7.469;à;16,40;3er;98.442;à;4,50;ZZ;307.765;à;1,10;;;;;;
So;04.05.;aufsteigend;2;3;12;17;20;41;ZZ;1;6er;3JP;;3.076.603,20;5er + ZZ;5;à;33.916,00;5er;164;à;1.128,00;4er + ZZ;395;à;163,90;;;;;;
;;gezogen;12;3;2;20;41;17;ZZ;1;4er;7.702;à;39,60;3er + ZZ;10.812;à;13,60;3er;124.473;à;4,30;ZZ;346.487;à;1,10;;;;;;
Mi;07.05.;aufsteigend;3;12;16;27;35;38;ZZ;19;6er;4;à;1.149.964,10;5er + ZZ;12;à;17.453,90;5er;289;à;790,60;4er + ZZ;625;à;127,90;;;;;;
;;gezogen;16;27;3;35;12;38;ZZ;19;4er;10.164;à;37,00;3er + ZZ;13.474;à;13,50;3er;154.012;à;4,30;ZZ;446.955;à;1,10;;;;;;
So;11.05.;aufsteigend;4;13;14;21;35;39;ZZ;11;6er;JP;;869.765,40;5er + ZZ;8;à;14.949,00;5er;100;à;1.304,60;4er + ZZ;432;à;105,70;;;;;;
;;gezogen;4;35;21;13;39;14;ZZ;11;4er;5.311;à;40,50;3er + ZZ;8.126;à;12,80;3er;83.123;à;4,60;ZZ;275.448;à;1,10;;;;;;
Mi;14.05.;aufsteigend;16;26;35;39;43;44;ZZ;38;6er;1;à;1.887.083,60;5er + ZZ;3;à;46.627,00;5er;204;à;748,00;4er + ZZ;359;à;148,70;;;;;;
;;gezogen;39;16;44;26;43;35;ZZ;38;4er;7.817;à;32,20;3er + ZZ;7.997;à;15,20;3er;101.209;à;4,40;ZZ;267.783;à;1,10;;;;;;
So;18.05.;aufsteigend;6;7;10;18;26;39;ZZ;34;6er;JP; ;864.502,20;5er + ZZ;2;à;59.434,50;5er;108;à;1.200,60;4er + ZZ;272;à;166,80;;;;;;
;;gezogen;26;7;10;39;6;18;ZZ;34;4er;5.916;à;36,10;3er + ZZ;6.668;à;15,50;3er;93.428;à;4,00;ZZ;227.746;à;1,10;;;;;;
Mi;21.05.;aufsteigend;11;12;18;24;26;40;ZZ;38;6er;1;à;1.827.075,80;5er + ZZ;3;à;44.117,90;5er;105;à;1.375,10;4er + ZZ;261;à;193,60;;;;;;
;;gezogen;11;26;12;18;40;24;ZZ;38;4er;5.782;à;41,20;3er + ZZ;6.762;à;17,00;3er;93.555;à;4,50;ZZ;250.230;à;1,10;;;;;;
So;25.05.;aufsteigend;3;9;21;27;40;45;ZZ;4;6er;1;à;1.000.000,00;5er + ZZ;3;à;37.467,30;5er;215;à;570,30;4er + ZZ;313;à;137,10;;;;;;
;;gezogen;45;27;3;40;21;9;ZZ;4;4er;6.857;à;29,50;3er + ZZ;7.229;à;13,50;3er;91.595;à;3,90;ZZ;238.920;à;1,10;;;;;;
Mi;28.05.;aufsteigend;4;15;28;29;31;39;ZZ;5;6er;JP;;715.184,80;5er + ZZ;5;à;19.667,50;5er;107;à;1.002,50;4er + ZZ;243;à;154,50;;;;;;
;;gezogen;4;31;29;15;39;28;ZZ;5;4er;4.550;à;38,90;3er + ZZ;6.257;à;13,70;3er;68.660;à;4,50;ZZ;232.563;à;1,10;;;;;;
So;01.06.;aufsteigend;4;22;25;30;31;37;ZZ;44;6er;1;à;1.753.214,50;5er + ZZ;4;à;35.682,20;5er;121;à;1.286,80;4er + ZZ;257;à;212,00;;;;;;
;;gezogen;25;4;22;30;31;37;ZZ;44;4er;5.288;à;48,50;3er + ZZ;6.935;à;17,90;3er;90.405;à;5,00;ZZ;286.755;à;1,10;;;;;;
Mi;04.06.;aufsteigend;5;6;11;26;27;42;ZZ;22;6er;1;à;1.000.000,00;5er + ZZ;3;à;33.095,50;5er;135;à;802,30;4er + ZZ;275;à;137,80;;;;;;
;;gezogen;26;6;27;5;11;42;ZZ;22;4er;4.975;à;35,90;3er + ZZ;6.492;à;13,30;3er;80.088;à;3,90;ZZ;195.891;à;1,10;;;;;;
So;08.06.;aufsteigend;8;9;19;26;37;45;ZZ;39;6er;JP;à;855.048,90;5er + ZZ;2;à;58.784,60;5er;95;à;1.350,00;4er + ZZ;254;à;176,70;;;;;;
 ;;gezogen;45;9;37;19;26;8;ZZ;39;4er;5.057;à;41,80;3er + ZZ;6.972;à;14,70;3er;83.909;à;4,40;ZZ;234.566;à;1,10;;;;;;
Mi;11.06.;aufsteigend;2;4;11;34;37;41;ZZ;31;6er;1;à;1.683.364,60;5er + ZZ;2;à;56.946,70;5er;88;à;1.411,90;4er + ZZ;227;à;191,50;;;;;;
;;gezogen;34;4;2;37;11;41;ZZ;31;4er;4.378;à;46,80;3er + ZZ;5.655;à;17,50;3er;75.444;à;4,80;ZZ;218.223;à;1,10;;;;;;
So;15.06.;aufsteigend;15;20;24;30;39;44;ZZ;4;6er;JP;;8.259.813,60;5er + ZZ;JP;à;113.572,40;5er;88;à;1.407,90;4er + ZZ;247;à;175,50;;;;;;
;;gezogen;30;20;44;24;39;15;ZZ;4;4er;4.112;à;49,70;3er + ZZ;6.508;à;15,20;3er;71.925;à;5,00;ZZ;259.992;à;1,10;;;;;;
Mi;18.06.;aufsteigend;10;22;24;29;35;37;ZZ;28;6er;1;à;1.789.267,30;5er + ZZ;DJP;à;246.024,20;5er;93;à;1.553,60;4er + ZZ;238;à;212,40;;;;;;
;;gezogen;35;29;22;10;37;24;ZZ;28;4er;4.794;à;49,70;3er + ZZ;6.549;à;17,60;3er;83.631;à;5,00;ZZ;298.137;à;1,10;;;;;;
So;22.06.;aufsteigend;6;18;23;26;30;32;ZZ;5;6er;JP;à;782.975,10;5er + ZZ;1;à;353.683,30;5er;82;à;1.432,20;4er + ZZ;201;à;204,50;;;;;;
;;gezogen;30;26;18;23;32;6;ZZ;5;4er;4.280;à;45,20;3er + ZZ;6.122;à;15,30;3er;70.905;à;4,80;ZZ;256.045;à;1,10;;;;;;
Mi;25.06.;aufsteigend;2;21;26;34;40;45;ZZ;27;6er;2JP;;1.704.284,10;5er + ZZ;3;à;42.226,60;5er;108;à;1.279,50;4er + ZZ;258;à;187,40;;;;;;
;;gezogen;40;26;21;2;34;45;ZZ;27;4er;5.403;à;42,20;3er + ZZ;6.974;à;15,80;3er;86.163;à;4,70;ZZ;293.760;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So;29.06.;aufsteigend;4;7;10;12;23;36;ZZ;44;6er;3JP;;2.970.492,00;5er + ZZ;1;à;174.103,50;5er;174;à;1.091,50;4er + ZZ;385;à;172,60;;;;;;
;;gezogen;7;10;4;12;36;23;ZZ;44;4er;8.814;à;35,50;3er + ZZ;9.773;à;15,50;3er;134.278;à;4,10;ZZ;341.534;à;1,10;;;;;;
Mi;02.07.;aufsteigend;8;16;24;25;27;35;ZZ;5;6er;4JP;;4.441.681,10;5er + ZZ;11;à;18.389,80;5er;253;à;872,20;4er + ZZ;644;à;119,90;;;;;;
;;gezogen;8;27;16;24;35;25;ZZ;5;4er;9.759;à;37,30;3er + ZZ;13.697;à;12,80;3er;143.494;à;4,50;ZZ;448.941;à;1,10;;;;;;
So;06.07.;aufsteigend;2;7;15;36;38;43;ZZ;1;6er;5JP; ;6.455.874,30;5er + ZZ;2;à;138.475,70;5er;218;à;1.385,90;4er + ZZ;534;à;198,00;;;;;;
;;gezogen;36;38;15;2;7;43;ZZ;1;4er;11.021;à;45,20;3er + ZZ;14.597;à;16,50;3er;183.321;à;4,80;ZZ;586.231;à;1,10;;;;;;
Mi;09.07.;aufsteigend;5;11;20;29;32;36;ZZ;6;6er;4;à;2.368.767,60;5er + ZZ;7;à;59.305,60;5er;413;à;1.096,50;4er + ZZ;950;à;166,80;;;;;;
;;gezogen;29;32;5;20;11;36;ZZ;6;4er;18.605;à;40,10;3er + ZZ;23.758;à;15,20;3er;292.395;à;4,50;ZZ;896.253;à;1,10;;;;;;
So;13.07.;aufsteigend;1;5;20;35;37;43;ZZ;8;6er;JP;;875.505,30;5er + ZZ;2;à;60.190,90;5er;87;à;1.509,40;4er + ZZ;247;à;186,00;;;;;;
;;gezogen;5;1;37;20;43;35;ZZ;8;4er;4.321;à;50,10;3er + ZZ;6.614;à;15,80;3er;74.641;à;5,10;ZZ;278.885;à;1,10;;;;;;
Mi;16.07.;aufsteigend;1;4;13;17;22;40;ZZ;16;6er;2JP;;1.935.308,20;5er + ZZ;2;à;72.861,40;5er;144;à;1.103,90;4er + ZZ;294;à;162,20;;;;;;
;;gezogen;17;40;13;4;1;22;ZZ;16;4er;6.047;à;43,80;3er + ZZ;7.343;à;16,20;3er;97.919;à;4,80;ZZ;285.996;à;1,20;;;;;;
So;20.07.;aufsteigend;11;22;26;38;41;43;ZZ;8;6er;3JP;à;3.316.419,60;5er + ZZ;14;à;13.564,40;5er;187;à;1.107,80;4er + ZZ;510;à;121,80;;;;;;
;;gezogen;22;43;11;41;26;38;ZZ;8;4er;7.386;à;46,70;3er + ZZ;11.115;à;13,90;3er;117.791;à;5,30;ZZ;391.894;à;1,20;;;;;;
Mi;23.07.;aufsteigend;3;4;12;24;34;43;ZZ;18;6er;1;à;4.864.140,00;5er + ZZ;5;à;42.562,30;5er;197;à;1.178,40;4er + ZZ;463;à;150,40;;;;;;
;;gezogen;34;3;43;12;4;24;ZZ;18;4er;8.726;à;44,30;3er + ZZ;11.116;à;15,60;3er;138.891;à;5,00;ZZ;384.460;à;1,20;;;;;;
So;27.07.;aufsteigend;3;9;15;22;41;43;ZZ;32;6er;1;à;1.000.000,00;5er + ZZ;5;à;25.191,60;5er;104;à;1.321,20;4er + ZZ;334;à;123,40;;;;;;
;;gezogen;41;9;43;15;22;3;ZZ;32;4er;5.150;à;44,40;3er + ZZ;7.033;à;14,60;3er;84.748;à;4,80;ZZ;213.251;à;1,20;;;;;;
Mi;30.07.;aufsteigend;7;20;27;30;38;42;ZZ;16;6er;JP; ;771.166,30;5er + ZZ;3;à;35.345,10;5er;63;à;1.836,10;4er + ZZ;264;à;131,40;;;;;;
;;gezogen;42;30;27;38;7;20;ZZ;16;4er;3.904;à;49,30;3er + ZZ;5.825;à;14,80;3er;65.627;à;5,30;ZZ;202.673;à;1,20;;;;;;
So;03.08.;aufsteigend;7;10;17;38;42;45;ZZ;16;6er;2JP; ;2.000.665,10;5er + ZZ;4;à;42.264,00;5er;122;à;1.511,60;4er + ZZ;335;à;165,10;;;;;;
;;gezogen;10;17;38;42;45;7;ZZ;16;4er;6.551;à;46,90;3er + ZZ;8.283;à;16,60;3er;109.045;à;5,10;ZZ;331.699;à;1,20;;;;;;
Mi;06.08.;aufsteigend;3;6;8;18;22;26;ZZ;41;6er;3JP;;3.316.050,10;5er + ZZ;7;à;25.837,90;5er;217;à;909,20;4er + ZZ;405;à;146,10;;;;;;
;;gezogen;6;18;8;3;22;26;ZZ;41;4er;9.088;à;36,10;3er + ZZ;9.560;à;15,40;3er;135.729;à;4,30;ZZ;318.760;à;1,20;;;;;;
So;10.08.;aufsteigend;1;4;13;19;37;41;ZZ;33;6er;1;à;4.962.139,90;5er + ZZ;3;à;75.445,70;5er;171;à;1.443,90;4er + ZZ;432;à;171,40;;;;;;
;;gezogen;41;37;4;13;19;1;ZZ;33;4er;8.615;à;47,70;3er + ZZ;12.427;à;14,90;3er;139.603;à;5,30;ZZ;450.990;à;1,20;;;;;;
Mi;13.08.;aufsteigend;7;14;16;18;19;21;ZZ;41;6er;3;à;333.333,30;5er + ZZ;1;à;108.018,60;5er;99;à;1.190,20;4er + ZZ;182;à;194,20;;;;;;
;;gezogen;18;16;21;19;14;7;ZZ;41;4er;4.425;à;44,30;3er + ZZ;5.107;à;17,30;3er;73.800;à;4,80;ZZ;185.149;à;1,20;;;;;;
So;17.08.;aufsteigend;1;3;9;14;25;31;ZZ;18;6er;2;à;500.000,00;5er + ZZ;3;à;39.371,10;5er;119;à;1.082,70;4er + ZZ;284;à;136,10;;;;;;
;;gezogen;3;31;1;9;14;25;ZZ;18;4er;5.206;;41,20;3er + ZZ;6.455;à;14,90;3er;79.452;à;4,80;ZZ;205.745;à;1,20;;;;;;
Mi;20.08.;aufsteigend;6;8;25;39;44;45;ZZ;33;6er;JP;;773.093,40;5er + ZZ;6;à;17.716,70;5er;74;à;1.567,00;4er + ZZ;200;à;173,90;;;;;;
;;gezogen;44;45;39;25;6;8;ZZ;33;4er;3.715;;52,00;3er + ZZ;5.554;à;15,60;3er;64.581;à;5,40;ZZ;206.466;à;1,20;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So;24.08.;aufsteigend;2;14;27;36;42;45;ZZ;38;6er;2JP; ;1.952.788,10;5er + ZZ;1;à;162.208,00;5er;125;à;1.415,60;4er + ZZ;327;à;162,30;;;;;;
;;gezogen;45;36;14;2;27;42;ZZ;38;4er;6.004;à;49,10;3er + ZZ;8.341;à;15,90;3er;98.489;à;5,40;ZZ;281.215;à;1,20;;;;;;
Mi;27.08.;aufsteigend;6;7;8;15;37;44;ZZ ;39;6er;1;à;3.190.329,10;5er + ZZ;5;à;34.032,30;5er;127;à;1.461,60;4er + ZZ;288;à;193,30;;;;;;
;;gezogen;8;6;7;37;44;15;ZZ;39;4er;6.069;à;50,90;3er + ZZ;8.273;à;16,80;3er;104.869;à;5,30;ZZ;317.032;à;1,20;;;;;;
So;31.08.;aufsteigend;8;9;20;24;34;38;ZZ;43;6er;JP; ;918.115,30;5er + ZZ;1;à;126.240,80;5er;116;à;1.187,20;4er + ZZ;255;à;162,00;;;;;;
;;gezogen;9;34;20;8;24;38;ZZ;43;4er;5.078;à;45,20;3er + ZZ;6.461;à;15,90;3er;81.238;à;5,10;ZZ;236.614;à;1,20;;;;;;
Mi;03.09.;aufsteigend;21;25;32;33;37;44;ZZ;41;6er;2JP; ;2.010.818,20;5er + ZZ;4;à;37.561,60;5er;116;à;1.412,90;4er + ZZ;272;à;180,70;;;;;;
;;gezogen;37;25;44;21;32;33;ZZ;41;4er;4.859;à;56,20;3er + ZZ;7.215;à;17,00;3er;84.648;à;5,80;ZZ;265.783;à;1,20;;;;;;
So;07.09.;aufsteigend;1;11;29;36;39;45;ZZ;21;6er;3JP;à;3.426.928,60;5er + ZZ;8;à;24.339,30;5er;147;à;1.445,00;4er + ZZ;459;à;138,80;;;;;;
;;gezogen;39;1;45;11;29;36;ZZ;21;4er;7.429;à;47,60;3er + ZZ;11.406;à;13,90;3er;122.171;à;5,20;ZZ;382.464;à;1,20;;;;;;
Mi;10.09.;aufsteigend;2;4;15;29;31;39;ZZ;30;6er;1;à;5.011.665,70;5er + ZZ;6;à;36.316,80;5er;263;à;903,80;4er + ZZ;443;à;160,90;;;;;;
;;gezogen;29;39;4;2;31;15;ZZ;30;4er;8.594;à;46,10;3er + ZZ;10.862;à;16,40;3er;138.020;à;5,10;ZZ;407.632;à;1,20;;;;;;
So;14.09.;aufsteigend;12;13;21;32;37;40;ZZ;30;6er;JP; ;918.172,00;5er + ZZ;4;à;31.562,10;5er;76;à;1.812,10;4er + ZZ;254;à;162,60;;;;;;
;;gezogen;12;37;32;13;21;40;ZZ;30;4er;4.289;à;53,50;3er + ZZ;6.186;à;16,60;3er;74.933;à;5,50;ZZ;233.110;à;1,20;;;;;;
Mi;17.09.;aufsteigend;2;7;10;17;23;41;ZZ;40;6er;2JP; ;1.981.555,10;5er + ZZ;1;à;146.215,10;5er;156;à;1.022,40;4er + ZZ;323;à;148,10;;;;;;
;;gezogen;23;41;7;17;2;10;ZZ;40;4er;6.945;à;38,20;3er + ZZ;7.630;à;15,60;3er;106.329;à;4,50;ZZ;260.207;à;1,20;;;;;;
So;21.09.;aufsteigend;8;13;17;24;25;29;ZZ;23;6er;3JP; ;3.367.284,50;5er + ZZ;1;à;190.537,70;5er;129;à;1.611,30;4er + ZZ;365;à;170,80;;;;;;
;;gezogen;25;17;24;29;8;13;ZZ;23;4er;7.768;à;44,50;3er + ZZ;9.964;à;15,60;3er;124.868;à;5,00;ZZ;365.503;à;1,20;;;;;;
Mi;24.09.;aufsteigend;9;21;22;23;36;37;ZZ;42;6er;4JP ; ;4.883.704,60;5er + ZZ;5;à;41.701,50;5er;178;à;1.277,80;4er + ZZ;405;à;168,40;;;;;;
;;gezogen;9;21;37;36;22;23;ZZ;42;4er;7.420;à;51,00;3er + ZZ;10.411;à;16,30;3er;129.031;à;5,30;ZZ;374.601;à;1,20;;;;;;
So;28.09.;aufsteigend;7;15;20;22;23;37;ZZ;13;6er;2;à;3.456.374,30;5er + ZZ;4;à;69.748,30;5er;181;à;1.681,50;4er + ZZ;552;à;165,40;;;;;;
;;gezogen;23;22;7;20;37;15;ZZ;13;4er;10.229;à;49,50;3er + ZZ;14.276;à;15,90;3er;172.867;à;5,30;ZZ;531.930;à;1,20;;;;;;
Mi;01.10.;aufsteigend;10;17;32;36;40;41;ZZ;21;6er;1;à;1.000.000,00;5er + ZZ;2;à;55.526,70;5er;69;à;1.755,70;4er + ZZ;252;à;144,20;;;;;;
;;gezogen;10;36;40;17;41;32;ZZ;21;4er;3.811;à;52,90;3er + ZZ;6.232;à;14,50;3er;64.988;à;5,60;ZZ;224.483;à;1,20;;;;;;
So;05.10.;aufsteigend;8;23;30;32;38;40;ZZ;19;6er;JP;;940.649,90;5er + ZZ;4;à;32.334,80;5er;95;à;1.485,20;4er + ZZ;259;à;163,40;;;;;;
;;gezogen;8;23;40;32;38;30;ZZ;19;4er;4.717;à;49,80;3er + ZZ;6.468;à;16,30;3er;77.311;à;5,50;ZZ;267.937;à;1,20;;;;;;
Mi;08.10.;aufsteigend;10;13;20;26;29;43;ZZ;38;6er;2JP;;1.985.614,20;5er + ZZ;1;à;143.682,50;5er;118;à;1.328,30;4er + ZZ;298;à;157,70;;;;;;
;;gezogen;26;10;43;20;13;29;ZZ;38;4er;5.396;à;48,40;3er + ZZ;6.962;à;16,80;3er;92.506;à;5,10;ZZ;248.552;à;1,20;;;;;;
So;12.10.;aufsteigend;1;2;27;38;39;45;ZZ;34;6er;1;à;3.372.238,20;5er + ZZ;3;à;63.553,50;5er;144;à;1.444,30;4er + ZZ;324;à;192,50;;;;;;
;;gezogen;2;45;38;39;1;27;ZZ;34;4er;6.956;à;49,80;3er + ZZ;8.974;à;17,30;3er;119.704;à;5,20;ZZ;344.390;à;1,20;;;;;;
Mi;15.10.;aufsteigend;4;5;27;29;30;36;ZZ;9;6er;JP;;768.604,90;5er + ZZ;2;à;52.841,50;5er;74;à;1.557,90;4er + ZZ;254;à;136,10;;;;;;
;;gezogen;5;30;27;4;36;29;ZZ;9;4er;3.874;à;49,60;3er + ZZ;6.812;à;12,60;3er;66.240;à;5,20;ZZ;216.683;à;1,20;;;;;;
So;19.10.;aufsteigend;7;9;20;25;30;32;ZZ;21;6er;1;à;1.939.892,00;5er + ZZ;4;à;40.262,90;5er;108;à;1.626,70;4er + ZZ;324;à;162,60;;;;;;
;;gezogen;9;20;25;32;7;30;ZZ;21;4er;6.346;à;46,10;3er + ZZ;8.784;à;15,00;3er;103.189;à;5,10;ZZ;317.517;à;1,20;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
Mi;22.10.;aufsteigend;10;15;30;32;37;40;ZZ;2;6er;1;à;1.000.000,00;5er + ZZ;1;à;102.279,50;5er;91;à;1.226,10;4er + ZZ;198;à;169,00;;;;;;
;;gezogen;37;10;40;30;15;32;ZZ;2;4er;3.810;à;48,80;3er + ZZ;5.010;à;16,70;3er;61.783;à;5,40;ZZ;212.275;à;1,20;;;;;;
So;26.10.;aufsteigend;3;4;6;12;29;39;ZZ;34;6er;JP;;881.042,20;5er + ZZ;2;à;60.571,60;5er;131;à;1.008,80;4er + ZZ;249;à;159,20;;;;;;
;;gezogen;12;39;4;29;3;6;ZZ;34;4er;5.972;à;36,80;3er + ZZ;5.904;à;16,70;3er;93.094;à;4,20;ZZ;212.137;à;1,20;;;;;;
Mi;29.10.;aufsteigend;2;9;11;23;25;29;ZZ;15;6er;2JP;;1.891.165,60;5er + ZZ;4;à;34.722,90;5er;145;à;1.044,90;4er + ZZ;351;à;129,50;;;;;;
;;gezogen;25;2;29;11;9;23;ZZ;15;4er;6.847;à;36,80;3er + ZZ;8.384;à;13,50;3er;99.867;à;4,50;ZZ;255.895;à;1,20;;;;;;
So;02.11.;aufsteigend;17;29;30;38;43;45;ZZ;21;6er;1;à;3.201.429,20;5er + ZZ;2;à;90.080,60;5er;142;à;1.384,00;4er + ZZ;368;à;160,20;;;;;;
;;gezogen;29;17;30;38;45;43;ZZ;21;4er;6.397;à;51,20;3er + ZZ;9.424;à;15,60;3er;108.588;à;5,40;ZZ;366.308;à;1,20;;;;;;
Mi;05.11.;aufsteigend;13;17;19;28;30;44;ZZ;6;6er;JP;;788.860,10;5er + ZZ;1;à;108.468,20;5er;80;à;1.479,10;4er + ZZ;267;à;132,90;;;;;;
;;gezogen;17;30;13;44;19;28;ZZ;6;4er;4.272;à;46,10;3er + ZZ;6.578;à;13,40;3er;69.260;à;5,10;ZZ;215.980;à;1,20;;;;;;
So;09.11.;aufsteigend;4;5;13;17;27;40;ZZ;32;6er;2JP;;2.019.426,10;5er + ZZ;5;à;33.840,50;5er;196;à;941,70;4er + ZZ;375;à;147,60;;;;;;
;;gezogen;27;40;13;4;17;5;ZZ;32;4er;8.463;à;36,30;3er + ZZ;9.276;à;14,90;3er;124.211;à;4,40;ZZ;296.229;à;1,20;;;;;;
Mi;12.11.;aufsteigend;3;10;18;29;37;39;ZZ;22;6er;1;à;3.319.513,60;5er + ZZ;7;à;25.537,40;5er;162;à;1.203,70;4er + ZZ;371;à;157,60;;;;;;
;;gezogen;18;39;10;37;29;3;ZZ;22;4er;6.859;à;47,30;3er + ZZ;9.581;à;15,20;3er;114.386;à;5,10;ZZ;345.706;à;1,20;;;;;;
So;16.11.;aufsteigend;16;23;36;39;40;43;ZZ;22;6er;JP;;943.948,50;5er + ZZ;2;à;64.896,40;5er;99;à;1.430,20;4er + ZZ;251;à;169,20;;;;;;
;;gezogen;16;43;36;40;23;39;ZZ;22;4er;4.609;à;51,20;3er + ZZ;5.993;à;17,70;3er;78.837;à;5,40;ZZ;264.691;à;1,20;;;;;;
Mi;19.11.;aufsteigend;6;12;21;38;42;45;ZZ;31;6er;2;à;1.000.440,40;5er + ZZ;2;à;72.664,00;5er;146;à;1.085,80;4er + ZZ;316;à;150,50;;;;;;
;;gezogen;45;38;6;42;12;21;ZZ;31;4er;5.864;à;45,00;3er + ZZ;6.992;à;17,00;3er;92.990;à;5,10;ZZ;256.800;à;1,20;;;;;;
So;23.11.;aufsteigend;7;14;19;26;28;43;ZZ;4;6er;JP;;909.430,00;5er + ZZ;4;à;31.261,60;5er;126;à;1.082,60;4er + ZZ;346;à;118,20;;;;;;
;;gezogen;28;26;19;43;14;7;ZZ;4;4er;5.532;à;41,00;3er + ZZ;8.350;à;12,20;3er;87.569;à;4,60;ZZ;240.801;à;1,20;;;;;;
Mi;26.11.;aufsteigend;7;31;32;39;41;44;ZZ;17;6er;2JP;;1.942.375,40;5er + ZZ;3;à;47.343,30;5er;98;à;1.581,00;4er + ZZ;284;à;163,60;;;;;;
