Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
20.04.;;;;;;;;;;4er;           7.326;à;              42,10;3er + ZZ;           9.735;à;              14,20;3er;         111.968;à;               4,90;ZZ;         295.358;à;               1,20;
24.04.;aufsteigend;5;13;18;28;39;45;ZZ;27;6er;7JP;;       7.084.706,50;5er + ZZ;               5;à;          50.239,10;5er;             237;à;           1.156,20;4er + ZZ;             562;à;             146,20;
24.04.;;;;;;;;;;4er;          10.386;à;              43,90;3er + ZZ;          14.438;à;              14,20;3er;         160.636;à;               5,10;ZZ;         501.717;à;               1,20;
27.04.;aufsteigend;8;9;28;34;40;43;ZZ;32;6er;               1;à;       9.802.237,50;5er + ZZ;               5;à;          74.732,00;5er;             309;à;           1.319,10;4er + ZZ;             719;à;             170,00;
27.04.;;;;;;;;;;4er;          14.218;à;              47,70;3er + ZZ;          20.001;à;              15,20;3er;         234.400;à;               5,20;ZZ;         685.664;à;               1,20;
01.05.;aufsteigend;16;21;23;25;31;44;ZZ;29;6er;JP;;         736.620,30;5er + ZZ;               2;à;          50.642,60;5er;              72;à;           1.534,60;4er + ZZ;             184;à;             180,10;
01.05.;;;;;;;;;;4er;           3.349;à;              54,90;3er + ZZ;           4.796;à;              17,20;3er;          58.367;à;               5,70;ZZ;         198.541;à;               1,20;
04.05.;aufsteigend;6;7;11;13;34;40;ZZ;36;6er;DJP;;       1.506.677,10;5er + ZZ;JP;;         105.882,80;5er;              96;à;           1.203,20;4er + ZZ;             220;à;             157,50;
04.05.;;;;;;;;;;4er;           4.287;à;              44,90;3er + ZZ;           5.133;à;              16,80;3er;          72.109;à;               4,80;ZZ;         180.349;à;               1,20;
08.05.;aufsteigend;21;23;27;28;36;44;ZZ;39;6er;3JP;;       2.499.034,60;5er + ZZ;DJP;;         242.331,90;5er;              78;à;           1.908,30;4er + ZZ;             280;à;             159,40;
08.05.;;;;;;;;;;4er;           4.786;à;              51,80;3er + ZZ;           7.137;à;              15,60;3er;          83.363;à;               5,30;ZZ;         248.752;à;               1,20;
11.05.;aufsteigend;4;15;22;29;32;42;ZZ;28;6er;               1;à;       3.495.116,80;5er + ZZ;               3;à;         126.431,00;5er;             135;à;           1.106,70;4er + ZZ;             284;à;             157,80;
11.05.;;;;;;;;;;4er;           5.759;à;              43,20;3er + ZZ;           6.979;à;              16,00;3er;          88.734;à;               5,00;ZZ;         272.121;à;               1,20;
13.05.;aufsteigend;3;6;11;25;33;45;ZZ;23;6er;               2;à;         500.000,00;5er + ZZ;               1;à;          81.935,10;5er;              67;à;           1.334,00;4er + ZZ;             217;à;             123,50;
13.05.;;;;;;;;;;4er;           3.894;à;              38,20;3er + ZZ;           5.048;à;              13,20;3er;          58.912;à;               4,50;ZZ;         148.868;à;               1,20;
15.05.;aufsteigend;4;11;13;20;29;45;ZZ;12;6er;               2;à;         500.000,00;5er + ZZ;               3;à;          26.424,70;5er;              86;à;           1.005,50;4er + ZZ;             193;à;             134,40;
15.05.;;;;;;;;;;4er;           3.422;à;              42,10;3er + ZZ;           4.729;à;              13,70;3er;          53.769;à;               4,80;ZZ;         162.755;à;               1,20;
18.05.;aufsteigend;1;2;18;27;36;37;ZZ;26;6er;JP;;         577.120,00;5er + ZZ;JP;;          79.354,00;5er;              66;à;           1.311,60;4er + ZZ;             161;à;             161,30;
18.05.;;;;;;;;;;4er;           2.758;à;              52,30;3er + ZZ;           3.766;à;              17,20;3er;          46.857;à;               5,50;ZZ;         164.458;à;               1,20;
22.05.;aufsteigend;5;13;20;21;29;32;ZZ;18;6er;DJP;;       1.378.812,00;5er + ZZ;               2;à;          94.793,30;5er;             111;à;           1.083,30;4er + ZZ;             239;à;             150,90;
22.05.;;;;;;;;;;4er;           4.424;à;              45,30;3er + ZZ;           5.825;à;              15,40;3er;          73.049;à;               4,90;ZZ;         199.498;à;               1,20;
25.05.;aufsteigend;3;4;25;27;30;42;ZZ;31;6er;3JP;;       2.215.277,40;5er + ZZ;               1;à;         115.013,90;5er;              85;à;           1.476,10;4er + ZZ;             191;à;             197,00;
25.05.;;;;;;;;;;4er;           4.460;à;              46,80;3er + ZZ;           5.555;à;              16,90;3er;          74.819;à;               5,00;ZZ;         200.830;à;               1,20;
29.05.;aufsteigend;5;12;20;40;41;45;ZZ;10;6er;               1;à;       3.147.826,20;5er + ZZ;               2;à;          64.112,70;5er;             103;à;           1.358,00;4er + ZZ;             423;à;              99,20;
29.05.;;;;;;;;;;4er;           4.896;à;              47,60;3er + ZZ;           8.660;à;              12,10;3er;          79.952;à;               5,20;ZZ;         259.669;à;               1,20;
01.06.;aufsteigend;13;18;19;26;41;44;ZZ;17;6er;JP;;         604.811,80;5er + ZZ;               2;à;          41.580,80;5er;              56;à;           1.620,00;4er + ZZ;             173;à;             157,30;
01.06.;;;;;;;;;;4er;           2.850;à;              53,00;3er + ZZ;           4.128;à;              16,40;3er;          47.781;à;               5,70;ZZ;         175.514;à;               1,20;
05.06.;aufsteigend;32;34;36;37;38;43;ZZ;28;6er;               1;à;       1.444.402,50;5er + ZZ;               5;à;          23.088,70;5er;             170;à;             740,80;4er + ZZ;             223;à;             169,40;
05.06.;;;;;;;;;;4er;           4.747;à;              44,20;3er + ZZ;           5.255;à;              17,90;3er;          63.521;à;               5,90;ZZ;         248.820;à;               1,20;
08.06.;aufsteigend;10;14;26;27;35;41;ZZ;32;6er;JP;;         572.659,80;5er + ZZ;               1;à;          78.740,70;5er;              53;à;           1.620,70;4er + ZZ;             151;à;             170,60;
08.06.;;;;;;;;;;4er;           3.157;à;              45,30;3er + ZZ;           3.922;à;              16,40;3er;          50.485;à;               5,10;ZZ;         137.426;à;               1,20;
12.06.;aufsteigend;12;14;31;33;35;40;ZZ;24;6er;DJP;;       1.400.892,20;5er + ZZ;               1;à;         113.881,90;5er;              74;à;           1.678,80;4er + ZZ;             220;à;             169,40;
12.06.;;;;;;;;;;4er;           4.000;à;              51,70;3er + ZZ;           5.692;à;              16,30;3er;          66.226;à;               5,60;ZZ;         214.892;à;               1,20;
15.06.;aufsteigend;3;12;26;32;36;42;ZZ;30;6er;3JP;;       2.254.729,50;5er + ZZ;JP;;         117.402,60;5er;             110;à;           1.164,30;4er + ZZ;             244;à;             157,40;
15.06.;;;;;;;;;;4er;           5.523;à;              38,60;3er + ZZ;           5.919;à;              16,20;3er;          76.645;à;               5,00;ZZ;         217.483;à;               1,20;
19.06.;aufsteigend;5;18;20;24;37;40;ZZ;30;6er;4JP;;       3.203.930,90;5er + ZZ;               4;à;          61.979,40;5er;              99;à;           1.438,10;4er + ZZ;             254;à;             168,10;
19.06.;;;;;;;;;;4er;           4.692;à;              50,50;3er + ZZ;           7.085;à;              15,00;3er;          77.032;à;               5,50;ZZ;         240.963;à;               1,20;
22.06.;aufsteigend;10;18;28;29;37;42;ZZ;26;6er;5JP;;       4.287.037,70;5er + ZZ;               4;à;          37.231,70;5er;             116;à;           1.400,50;4er + ZZ;             287;à;             169,80;
22.06.;;;;;;;;;;4er;           5.477;à;              49,40;3er + ZZ;           7.584;à;              16,00;3er;          89.846;à;               5,40;ZZ;         299.584;à;               1,20;
26.06.;aufsteigend;1;11;17;18;19;43;ZZ;26;6er;               1;à;       5.629.282,80;5er + ZZ;JP;;         184.558,60;5er;             149;à;           1.351,20;4er + ZZ;             392;à;             154,00;
26.06.;;;;;;;;;;4er;           7.459;à;              44,90;3er + ZZ;          10.215;à;              14,70;3er;         118.853;à;               5,10;ZZ;         358.257;à;               1,20;
29.06.;aufsteigend;10;13;37;38;42;44;ZZ;21;6er;JP;;         599.111,40;5er + ZZ;               3;à;          88.978,80;5er;              60;à;           1.497,70;4er + ZZ;             141;à;             191,20;
29.06.;;;;;;;;;;4er;           2.825;à;              53,00;3er + ZZ;           3.911;à;              17,20;3er;          44.836;à;               6,00;ZZ;         169.548;à;               1,20;
03.07.;aufsteigend;8;11;17;25;35;45;ZZ;20;6er;DJP;;       1.430.926,40;5er + ZZ;               2;à;          57.187,20;5er;              96;à;           1.299,70;4er + ZZ;             264;à;             141,70;
03.07.;;;;;;;;;;4er;           4.818;à;              43,10;3er + ZZ;           6.184;à;              15,10;3er;          75.713;à;               4,90;ZZ;         211.166;à;               1,20;
06.07.;aufsteigend;11;12;15;18;33;43;ZZ;38;6er;               2;à;       1.138.065,20;5er + ZZ;JP;;         116.215,50;5er;              63;à;           2.012,30;4er + ZZ;             234;à;             162,50;
06.07.;;;;;;;;;;4er;           4.211;à;              50,10;3er + ZZ;           5.660;à;              16,70;3er;          72.328;à;               5,20;ZZ;         198.798;à;               1,20;
08.07.;aufsteigend;11;17;21;22;24;38;ZZ;2;6er;JP;;         576.252,10;5er + ZZ;               3;à;          65.150,00;5er;              63;à;           1.372,00;4er + ZZ;             185;à;             140,10;
08.07.;;;;;;;;;;4er;           3.013;à;              47,80;3er + ZZ;           4.519;à;              14,30;3er;          50.759;à;               5,10;ZZ;         154.575;à;               1,20;
10.07.;aufsteigend;9;12;24;25;28;45;ZZ;16;6er;               1;à;       1.191.741,90;5er + ZZ;JP;;          84.629,80;5er;              59;à;           1.564,80;4er + ZZ;             190;à;             145,70;
10.07.;;;;;;;;;;4er;           3.504;à;              43,90;3er + ZZ;           4.752;à;              14,50;3er;          55.370;à;               5,00;ZZ;         158.262;à;               1,20;
13.07.;aufsteigend;1;5;20;22;41;42;ZZ;35;6er;JP;;         572.969,70;5er + ZZ;DJP;;         163.413,10;5er;              52;à;           1.652,70;4er + ZZ;             127;à;             203,00;
13.07.;;;;;;;;;;4er;           2.882;à;              49,70;3er + ZZ;           3.473;à;              18,50;3er;          48.896;à;               5,30;ZZ;         138.962;à;               1,20;
17.07.;aufsteigend;4;11;27;29;32;35;ZZ;6;6er;DJP;;       1.379.880,60;5er + ZZ;               2;à;         137.181,70;5er;              83;à;           1.458,20;4er + ZZ;             237;à;             153,20;
17.07.;;;;;;;;;;4er;           4.485;à;              44,90;3er + ZZ;           6.000;à;              15,10;3er;          73.749;à;               4,90;ZZ;         227.391;à;               1,20;
20.07.;aufsteigend;14;18;31;33;37;42;ZZ;27;6er;               1;à;       2.178.668,50;5er + ZZ;JP;;         109.833,30;5er;              73;à;           1.641,30;4er + ZZ;             180;à;             199,60;
20.07.;;;;;;;;;;4er;           3.688;à;              54,10;3er + ZZ;           5.262;à;              17,00;3er;          61.641;à;               5,80;ZZ;         235.728;à;               1,20;
24.07.;aufsteigend;13;20;25;32;33;39;ZZ;1;6er;JP;;         675.093,00;5er + ZZ;               4;à;          50.664,60;5er;              64;à;           1.582,20;4er + ZZ;             184;à;             165,10;
24.07.;;;;;;;;;;4er;           3.159;à;              53,40;3er + ZZ;           4.175;à;              18,10;3er;          53.244;à;               5,70;ZZ;         193.000;à;               1,20;
27.07.;aufsteigend;14;15;27;30;36;37;ZZ;29;6er;DJP;;       1.389.563,40;5er + ZZ;               1;à;          98.239,60;5er;              70;à;           1.531,00;4er + ZZ;             180;à;             178,60;
