251,21,32,61,65,77
252,38,39,40,73,83
253,20,21,25,39,57
254,10,13,26,64,67
255,15,26,51,74,89
256,3,43,59,62,69
257,4,18,56,71,80
258,5,11,18,67,89
259,11,23,37,55,72
260,4,14,27,63,65
261,19,27,31,37,81
262,25,36,38,79,84
263,13,14,16,29,43
264,22,28,31,49,78
265,1,23,42,62,71
266,12,60,67,70,85
267,28,50,77,78,85
268,9,11,32,40,55
269,10,32,42,43,46
270,59,64,67,73,74
271,3,20,53,79,88
272,39,40,68,72,73
273,1,5,34,45,46
274,15,45,62,78,79
275,17,24,37,49,82
276,1,8,17,50,77
277,55,67,70,71,73
278,1,4,31,40,83
279,16,39,42,45,78
280,1,3,23,58,70
281,1,20,26,54,55
282,1,16,47,61,75
283,5,18,47,61,85
284,18,22,50,54,79
285,15,41,50,71,76
286,5,32,47,62,88
287,1,21,35,42,90
288,8,38,62,69,70
289,10,18,83,87,89
290,14,58,59,78,85
291,34,43,51,67,80
292,18,23,54,63,82
293,27,31,47,87,89
294,34,36,59,69,90
295,3,7,19,39,50
296,21,33,68,75,89
297,7,8,25,29,76
298,39,46,47,78,85
299,22,30,35,61,71
300,1,9,25,73,89
301,33,54,66,68,72
302,7,31,34,55,60
303,5,9,52,59,85
304,21,43,62,66,84
305,6,44,46,55,81
306,21,53,59,71,86
307,15,24,35,53,71
308,48,56,58,65,70
309,5,34,45,54,55
310,6,7,46,65,88
311,5,31,41,44,63
312,47,48,56,67,90
313,58,59,71,85,89
314,14,43,49,76,85
315,7,12,32,38,82
316,2,3,35,41,79
317,1,4,59,65,85
318,1,4,40,49,67
319,3,28,37,44,46
320,10,12,13,64,79
321,51,61,64,74,79
322,3,5,13,62,87
323,4,39,49,60,62
324,3,19,64,66,77
325,17,20,59,78,81
326,3,6,67,72,76
327,9,11,43,57,88
328,25,42,45,52,86
329,8,35,60,67,84
330,26,27,30,73,85
331,10,14,25,51,71
332,7,63,69,76,85
333,33,43,58,60,77
334,8,9,19,37,43
335,1,11,45,67,78
336,7,53,65,73,87
337,53,55,67,79,80
338,14,34,43,52,78
339,17,22,47,73,90
340,23,36,38,57,76
341,1,23,37,49,60
342,8,29,59,77,89
343,1,9,17,18,89
344,9,16,78,83,86
345,4,13,47,76,78
346,22,29,53,62,74
